GallupID,Name,CBSID,Abbrev,PLstID,estuse.18.25.2011.12,estuse.26.older.2011.12,arrest.rate.2012,med2001,med2003,med2009,med2010,med2011,med2012,med2013,med2014,med2015,med2016,med2017,leg2013,leg2014,leg2015,leg2016,leg2017,use201415,use201314,use201312,use201211,use201110,use201009,use200908,use200807,use200706,use200605,use200504,use200403,use200302
26,West Virginia,49,WV,47,0.3,0.07,249,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.069969,0.063662,0.050513,0.051431,0.058629,0.059801,0.054731,0.046651,0.050693,0.059322,0.057181,0.053937,0.047696
27,District of Columbia,9,DC,8,0.42,0.15,NA,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,0.121021,0.127153,0.121346,0.105168,0.111833,0.100907,0.085364,0.098503,0.099111,0.085445,0.07303,0.075244,0.097631
31,Ohio,36,OH,34,0.32,0.09,159.41,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.078167,0.070232,0.076284,0.073481,0.063992,0.058556,0.057745,0.05682,0.058824,0.060165,0.058349,0.058628,0.062293
32,Michigan,23,MI,21,0.34,0.1,205.89,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0.102894,0.10404,0.097732,0.088864,0.087244,0.084643,0.074777,0.069759,0.069267,0.063376,0.066116,0.07046,0.069547
33,Indiana,15,IN,13,0.29,0.07,202.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.087862,0.076377,0.063091,0.061947,0.065227,0.0603,0.059499,0.060795,0.058402,0.054197,0.049553,0.053519,0.059752
34,Illinois,14,IL,12,0.32,0.08,NA,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0.080563,0.077349,0.070289,0.070394,0.067861,0.063845,0.057561,0.053289,0.053598,0.052222,0.054958,0.05675,0.053674
41,Wisconsin,50,WI,48,0.29,0.07,399.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.068192,0.06386,0.064179,0.065813,0.057007,0.055515,0.060872,0.063029,0.057933,0.054706,0.057667,0.054449,0.051263
42,Minnesota,24,MN,22,0.34,0.08,224.03,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0.07738,0.073354,0.061637,0.061936,0.064015,0.059113,0.060207,0.071652,0.072614,0.071251,0.06859,0.058675,0.06067
43,Iowa,16,IA,14,0.29,0.07,200.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047242,0.050021,0.059485,0.060418,0.050838,0.047142,0.042299,0.030789,0.036276,0.044508,0.040498,0.045152,0.046565
44,Missouri,26,MO,24,0.29,0.07,334.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.081698,0.081361,0.070952,0.058033,0.059099,0.06097,0.059576,0.053044,0.054272,0.053068,0.053172,0.061748,0.066865
45,North Dakota,35,ND,33,0.27,0.06,265.86,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.059227,0.05791,0.051863,0.050657,0.045159,0.040662,0.04636,0.049776,0.04967,0.042915,0.045897,0.054119,0.050917
46,South Dakota,42,SD,40,0.26,0.07,328.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.069882,0.04758,0.050163,0.057172,0.049743,0.048614,0.049808,0.051589,0.053483,0.051088,0.047698,0.046426,0.04691
47,Nebraska,28,NE,26,0.26,0.06,421.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.063974,0.058121,0.053848,0.053968,0.055063,0.058319,0.052831,0.047966,0.049513,0.05159,0.049245,0.050608,0.055896
48,Kansas,17,KS,15,0.24,0.05,211.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.073762,0.06393,0.043303,0.039025,0.053437,0.052096,0.049115,0.049654,0.054317,0.057269,0.05094,0.047114,0.046041
51,Virginia,47,VA,45,0.3,0.06,286.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.067445,0.069566,0.0631,0.05429,0.057951,0.057612,0.052287,0.056612,0.06456,0.054264,0.048439,0.052339,0.056795
52,North Carolina,34,NC,32,0.31,0.07,271.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.074308,0.067237,0.061136,0.063684,0.072737,0.070658,0.062073,0.059236,0.052061,0.054566,0.054,0.054153,0.056057
53,South Carolina,41,SC,39,0.31,0.08,381.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.082666,0.066141,0.068415,0.071992,0.058909,0.060145,0.0595,0.049396,0.047527,0.053892,0.053434,0.056261,0.054691
54,Georgia,11,GA,10,0.26,0.06,308.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.078868,0.079572,0.077748,0.058176,0.047932,0.053902,0.06122,0.054472,0.056181,0.058162,0.055791,0.053662,0.046903
